sample_id,reference_raw,reference_norm,hypothesis_A_original,wer_A_original,latency_mean_A_original,latency_std_A_original,hypothesis_B_pt_pinned,wer_B_pt_pinned,latency_mean_B_pt_pinned,latency_std_B_pt_pinned,peak_vram_mb,quantized
pt-PT~FREEZE/response_13.wav,Olá bom dia estou a ligar com o Diogo é uma com o meu cartão e gostaria de saber como é que posso fazer O que é que é possível de fazer para cancelar ou para congelar o meu cartão de forma não haver mais nenhum movimento em transação por favor,olá bom dia estou a ligar com o diogo é uma com o meu cartão e gostaria de saber como é que posso fazer o que é que é possível de fazer para cancelar ou para congelar o meu cartão de forma não haver mais nenhum movimento em transação por favor,"Alô, bom dia. Eu estou a ligar porque tenho um problema com o meu cartão e gostaria de saber como é que posso fazer ou o que é que é possível de fazer para cancelar ou para congelar o meu cartão de forma a não haver mais nenhum movimento em transação, por favor.",0.17647058823529413,3.2810430510004758,0.01736223983181891,"Alô, bom dia. Eu estou ligando porque eu tenho um problema com o meu cartão e gostaria de saber como é que posso fazer ou o que é que é possível de fazer para cancelar ou para congelar o meu cartão de forma a não haver mais nenhum movimento em transação, por favor.",0.21568627450980393,3.3075623760002295,0.03785130742451146,15783.193359375,False
pt-PT~LATEST_TRANSACTIONS/CAf2aa6ae60f94a8de85cdf160289f81d2_3.wav,Eu gostava de ver as minhas transações recentes,eu gostava de ver as minhas transações recentes,我有在看我的交易。,1.0,0.4583810623335012,0.0035798163454424142,Eu gostava de ver as minhas transações recentes.,0.0,0.7201966996672127,0.005754953557514754,15783.193359375,False
pt-PT~HIGH_VALUE_PAYMENT/response_38.wav,tava a ligar porque precisava de fazer um grande pagamento online e está a dizer que eu preciso para receber uma mensagem de texto Não sei o que é que é preciso fazer Precisava da vossa ajuda para me ajudar a passar o pagamento,tava a ligar porque precisava de fazer um grande pagamento online e está a dizer que eu preciso para receber uma mensagem de texto não sei o que é que é preciso fazer precisava da vossa ajuda para me ajudar a passar o pagamento,I was trying to call because I needed to make a big online payment and he's saying that I need to receive a text message and I don't know what I need to do. I needed your help to process the payment.,1.0,2.1476069983333823,0.023223491156082677,"Qualquer coisa, eu estava ligando porque eu precisava de fazer um grande pagamento online e está dizendo que eu preciso de receber um mensagem de texto. Não sei o que é que eu preciso fazer. Eu precisava da sua ajuda para me ajudar a processar o pagamento.",0.3181818181818182,2.8134867053328585,0.02463405593038175,15783.193359375,False
pt-PT~BALANCE/response_4.wav,mostre-me o saldo da minha conta,mostreme o saldo da minha conta,Most must have gone on your account.,1.1666666666666667,0.499905445333449,0.0049532586045475755,Most um salva no meu conta.,0.8333333333333334,0.49053506566633587,0.000556089247371645,15783.193359375,False
pt-PT~JOINT_ACCOUNT/response_31.wav,Boa tarde poderia explicar-me Como é que faço para configurar uma conta conjunta obrigada,boa tarde poderia explicarme como é que faço para configurar uma conta conjunta obrigada,"Boa tarde, poderia explicar-me como é que faço para configurar uma conta conjunta? Obrigado.",0.07142857142857142,1.2681515553340432,0.0037462690521723437,"Boa tarde, poderia explicar-me como é que faço para configurar uma conta conjunta? Obrigado.",0.07142857142857142,1.277377815333845,0.013545950199163838,15783.193359375,False
pt-PT~BUSINESS_LOAN/response_4.wav,Bom dia a estou a ligar porque tenho um empréstimo comercial e eu queria saber quando é que são as especificações para abrir um novo e se posso ter dois empréstimos comerciais ao mesmo tempo obrigado,bom dia a estou a ligar porque tenho um empréstimo comercial e eu queria saber quando é que são as especificações para abrir um novo e se posso ter dois empréstimos comerciais ao mesmo tempo obrigado,"Bom dia, estou ligado porque tenho um empréstimo comercial e eu queria saber quais são as especificações para abrir um novo e se posso ter dois empréstimos comerciais ao mesmo tempo. Obrigado.",0.16666666666666666,2.4216468459999305,0.03467199041182169,"Qual é o dia? Estou ligar porque tenho um empréstimo comercial e eu queria saber quais são as especificações para abrir um novo, e se posso ter dois empréstimos comerciais ao mesmo tempo. Obrigado.",0.2222222222222222,2.5019946616666857,0.010237872140750103,15783.193359375,False
pt-PT~HIGH_VALUE_PAYMENT/CA939d05b1d67639671b874e557350c19f_0.wav,Olá boa tarde diga-me para fazer um pagamento online e ele também não consegues são e ao mesmo tempo recebendo as mensagens telefone na cara um pouco mais que isso funciona,olá boa tarde digame para fazer um pagamento online e ele também não consegues são e ao mesmo tempo recebendo as mensagens telefone na cara um pouco mais que isso funciona,"Hello, good afternoon. I'm trying to do a payment online and he's telling me some scories, but I don't know what they are. And at the same time, I'm receiving messages on my phone that are very strange. Could you explain a little bit more how this works?",1.5161290322580645,2.7613267336661615,0.0010567472470411842,"Olá, boa tarde. Eu estou tentando fazer um pagamento online e ele tá me dizendo que são fraudes, só que eu não sei o que são e ao mesmo tempo eu tô recebendo as mensagens de um celular que estão todas roscadas. Podemos explicar um pouco mais como é que isso funciona?",0.9032258064516129,3.176997501999722,0.005879262424952569,15783.193359375,False
pt-PT~DIRECT_DEBIT/response_18.wav,Olá boa tarde Estou a ligar porque tenho as perguntas relações com os débitos diretos e gostava que me Explicassem primeiro Como funciona o que são os débitos diretos Como é que eu poderei ter acesso aos débitos diretos e Caso seja necessário Como é que poderá proceder a devolução Então de um débito direto obrigado,olá boa tarde estou a ligar porque tenho as perguntas relações com os débitos diretos e gostava que me explicassem primeiro como funciona o que são os débitos diretos como é que eu poderei ter acesso aos débitos diretos e caso seja necessário como é que poderá proceder a devolução então de um débito direto obrigado,"Hello, good afternoon. I'm here to call because I have some questions related to direct debits and I would like you to explain first how it works, what are the direct debits, how I can have access to direct debits and, if necessary, how I can proceed with the dissolution of a direct debit. Thank you.",1.0,3.126620944332899,0.008696625656169172,"Qualquer coisa. Boa tarde. Eu estou a ligar porque tenho algumas perguntas relacionadas com os débitos diretos e eu gostava que me explicassem, primeiro, como funciona, o que são os débitos diretos, como é que eu poderia ter acesso aos débitos diretos e, caso seja necessário, como é que eu poderia proceder à dissolução, então, de um débito direto. Obrigado.",0.19642857142857142,4.543574510666683,0.0010658750168886686,15783.193359375,False
pt-PT~BALANCE/response_35.wav,Estou sim Estou a contactar porque tenho de saber o saldo da conta da minha conta Se pudesse mostrar eu agradecia muito obrigado,estou sim estou a contactar porque tenho de saber o saldo da conta da minha conta se pudesse mostrar eu agradecia muito obrigado,"Estou assim, eu estou a contactar porque queria, pretendia saber o saldo da, da conta, da, da minha conta. Se, se pudesse mostrar, eu agradeço muito obrigado.",0.34782608695652173,2.097749709332978,0.007402332325112701,"Estou assim, eu estou a contactar porque eu queria, pretendia saber o saldo da, da conta, da, da minha conta. Se, se pudesse mostrar, eu agradeço muito obrigado.",0.391304347826087,2.163636128000386,0.011115474679738358,15783.193359375,False
pt-PT~ABROAD/CA0af2f6287d471032addb4b0d879a7d94_3.wav,Como é que posso usar este cartão exterior,como é que posso usar este cartão exterior,Como é que posso usar este cartão exterior?,0.0,0.6280716129998231,0.006784935511682476,Como é que posso usar este cartão exterior?,0.0,0.6238258329995006,0.0012168825572236692,15783.193359375,False
pt-PT~JOINT_ACCOUNT/response_30.wav,Como é que eu faço configurar uma conta conjunta não é que pode ter conta de uma parceira Onde é que posso ver no colectivo opção do contente,como é que eu faço configurar uma conta conjunta não é que pode ter conta de uma parceira onde é que posso ver no colectivo opção do contente,"Como é que eu faço para configurar uma conta conjunta? Sempre que posso ter uma conta do meu parceiro, onde é que posso ver no aplicativo a opção de conta em conjunção?",0.5,2.157262203999077,0.009247855229466289,"Como é que eu faço para configurar uma conta conjunta? Sempre que posso ter uma conta do meu parceiro, onde é que posso ver no aplicativo a opção de conta em conjunta?",0.5,2.104578249000648,0.004490287769395961,15783.193359375,False
pt-PT~ABROAD/CA3b1b8da772a8ce668baebb999a16a09f_4.wav,eu preciso do meu cartão no exterior,eu preciso do meu cartão no exterior,Eu preciso do meu cartão no exterior.,0.0,0.5822505683336203,0.003340032265189634,Eu preciso do meu cartão no exterior.,0.0,0.5956938083333322,0.013025520120135569,15783.193359375,False
pt-PT~BALANCE/response_7.wav,Qual é o saldo da minha conta,qual é o saldo da minha conta,Qual é o saldo da minha conta?,0.0,0.5538548283329874,0.006252947243328427,Qual é o saldo da minha conta,0.0,0.45943068566703005,0.014316417187602066,15783.193359375,False
pt-PT~ABROAD/CA5719e2617ea4eb62447cba4238fdbd98_4.wav,Olá eu preciso de usar o meu cartão do exterior,olá eu preciso de usar o meu cartão do exterior,你好，我需要使用我的卡在外部,1.0,0.6125092476668215,0.006463059643298399,"Hela, eu preciso de usar o meu cartão no exterior.",0.2,0.8748654699999557,0.004403284112582536,15783.193359375,False
pt-PT~CASH_DEPOSIT/response_7.wav,Como é que faço para colocar dinheiro própria conta,como é que faço para colocar dinheiro própria conta,怎么快速把呃酷跑的那些他们靠谱的款,1.0,0.666479377666595,0.004267873060646664,Come on fast for a cool carding and then a proper one.,1.3333333333333333,0.7470765443334434,0.000987153147953624,15783.193359375,False
pt-PT~ABROAD/CA265a820dff5459780b4673c3ae89e7df_2.wav,posso pagar as coisas quando estou na América,posso pagar as coisas quando estou na américa,Pouso pagar as coisas quando estou na América?,0.125,0.7196878579992093,0.004202252176598878,Pouso pagar as coisas quando estou na América?,0.125,0.7204000300001402,0.0005822406093838286,15783.193359375,False
pt-PT~ADDRESS/response_18.wav,Bom dia queria mudar o meu endereço,bom dia queria mudar o meu endereço,"Pandilla, quero mudar o meu endereço.",0.42857142857142855,0.7021332756667107,0.001349988243539812,"Pandia, queria mudar o meu endereço.",0.2857142857142857,0.7013946159998644,0.0019617863059044277,15783.193359375,False
pt-PT~ADDRESS/CA6f91aa83792e208957f021ec365a69fd_0.wav,Eu preciso de mudar o meu endereço,eu preciso de mudar o meu endereço,呃，我我需要你给我一个地址。,1.0,0.5835039853324512,0.0017406601038218205,呃，我我需要你给我一个地址。,1.0,0.5726278573341309,0.0033028621334361846,15783.193359375,False
pt-PT~CASH_DEPOSIT/CA3297da62621739854b3b1a442e832f52_3.wav,Eu precisava de fazer um depósito na minha conta,eu precisava de fazer um depósito na minha conta,我需要在账户上存入一笔资金。,1.0,0.5812940000002224,0.006783462204432153,Eu precisava de fazer um depósito na minha conta.,0.0,0.6825555316657604,0.007129233321688278,15783.193359375,False
